,sentences
125,"['The', 'patients', 'with', 'abnormal', 'brain', 'MRI', 'at', 'the', 'onset', 'of', 'treatment', 'showed', 'clinical', 'and', 'neurophysiologic', 'worsening']"
126,"['CONCLUSIONS', 'Lorenzos', 'oil', 'therapy', 'had', 'no', 'effect', 'on', 'patients', 'with', 'evidence', 'of', 'inflammatory', 'brain', 'lesions']"
127,"['Moreover', ',', 'in', 'patients', 'without', 'clear', 'signs', 'of', 'inflammatory', 'damage', ',', 'this', 'treatment', 'does', 'not', 'modify', 'significantly', 'the', 'natural', 'course', 'of', 'the', 'disease']"
128,"['However', ',', 'because', 'effective', 'treatments', 'should', 'begin', 'before', 'the', 'onset', 'of', 'severe', 'neurologic', 'symptoms', ',', 'SEPs', 'and', 'MEPs', 'should', 'be', 'considered', 'to', 'evaluate', 'the', 'effectiveness', 'of', 'other', 'experimental', 'treatments', 'in', 'the', 'patient', 'with', 'a', 'negative', 'brain', 'MRI']"
129,"['GCH1', 'mutation', 'in', 'a', 'patient', 'with', 'adult-onset', 'oromandibular', 'dystonia']"
130,"['The', 'authors', 'report', 'a', 'mutation', 'in', 'exon', '5', 'of', 'GCH1', 'in', 'a', 'patient', 'with', 'adult-onset', 'oromandibular', 'dystonia', 'and', 'no', 'obvious', 'family', 'history', 'of', 'dystonia']"
131,"['The', 'patient', 'responded', 'positively', 'to', 'treatment', 'with', 'L-dopa']"
132,"['These', 'findings', 'demonstrate', 'that', 'GCH1', 'mutations', 'must', 'be', 'considered', 'even', 'in', 'patients', 'with', 'dystonic', 'symptoms', 'not', 'typical', 'of', 'dopa-responsive', 'dystonia']"
133,"['Germline', 'mutations', 'of', 'the', 'APC', 'gene', 'in', 'Korean', 'familial', 'adenomatous', 'polyposis', 'patients']"
134,"['We', 'extensively', 'analyzed', 'genomic', 'DNA', 'and', 'messenger', 'RNA', '(', 'mRNA', ')', 'from', '62', 'unrelated', 'Korean', 'patients', 'with', 'familial', 'adenomatous', 'polyposis', '(', 'FAP', ')', 'for', 'identification', 'of', 'germline', 'adenomatous', 'polyposis', 'coli', '(', 'APC', ')', 'gene', 'mutations']"
135,"['We', 'adopted', 'both', 'single-strand', 'conformation', 'polymorphism', '(', 'SSCP', ')', 'analysis', 'and', 'a', 'method', 'of', 'analysis', 'involving', 'the', 'reverse', 'transcription-polymerase', 'chain', 'reaction', '(', 'RT-PCR', ')', 'followed', 'by', 'a', 'protein', 'truncation', 'test', '(', 'PTT', ')']"
136,"['DNA', 'sequencing', 'confirmed', 'all', 'alterations', 'represented', 'by', 'aberrant', 'bands']"
137,"['Germline', 'mutations', 'were', 'identified', 'in', '38', 'patients', '(', '61', '%', ')']"
138,"['Nineteen', 'of', 'the', 'detected', 'mutations', 'were', 'presumed', 'to', 'be', 'novel', ',', 'thus', 'emphasizing', 'the', 'heterogeneity', 'of', 'the', 'mutational', 'spectrum', 'in', 'Korean', 'FAP', 'patients']"
139,"['In', 'the', 'initial', '48', 'patients', ',', 'SSCP', 'analysis', 'was', 'followed', 'by', 'PTT', 'for', 'those', 'patients', 'for', 'whom', 'no', 'detectable', 'mutations', 'were', 'found', 'by', 'SSCP']"
140,"['Using', 'this', 'combined', 'approach', ',', 'we', 'identified', 'germline', 'APC', 'gene', 'mutations', 'in', '29', 'of', 'the', '48', 'FAP', 'patients', '(', '60', '%', ')', ',', 'including', '6', 'patients', 'in', 'whom', 'SSCP', 'analysis', 'failed', 'to', 'distinguish', 'the', 'mutant', 'allele']"
141,"['In', 'the', '14', 'later', 'patients', ',', 'we', 'identified', 'truncating', 'mutations', 'in', '9', 'patients', '(', '64', '%', ')', 'using', 'PTT', 'only']"
142,"['Our', 'results', 'confirm', 'that', 'the', 'mutation', 'detection', 'rate', 'with', 'PTT', 'was', 'superior', 'to', 'that', 'with', 'SSCP', ',', 'and', 'suggest', 'that', 'PTT', 'would', 'be', 'a', 'more', 'practical', 'screening', 'method', 'to', 'detect', 'germline', 'mutations', 'of', 'the', 'APC', 'gene', 'in', 'FAP', 'patients']"
143,"['Molecular', 'epidemiology', 'of', 'C9', 'deficiency', 'heterozygotes', 'with', 'an', 'Arg95Stop', 'mutation', 'of', 'the', 'C9', 'gene', 'in', 'Japan']"
144,"['Deficiency', 'of', 'the', 'ninth', 'component', 'of', 'human', 'complement', '(', 'C9', ')', 'is', 'the', 'most', 'common', 'complement', 'deficiency', 'in', 'Japan', ',', 'with', 'an', 'incidence', 'of', 'approximately', 'one', 'homozygote', 'in', '1000', ',', 'but', 'is', 'very', 'rare', 'in', 'other', 'countries']"
145,"['Genetic', 'analyses', 'of', 'Japanese', 'C9', 'deficiency', 'have', 'shown', 'that', 'a', 'C-to-T', 'transition', 'leading', 'to', 'TGA', 'stop', 'codon', 'for', 'Arg95', 'in', 'exon', '4', 'of', 'the', 'C9', 'gene', '(', 'Arg95Stop', ')', 'is', 'common', 'in', 'Japanese', 'C9', 'deficiency']"
146,"['To', 'determine', 'the', 'prevalence', 'of', 'heterozygous', 'carriers', 'of', 'the', 'Arg95Stop', 'mutation', 'in', 'a', 'Japanese', 'population', ',', 'we', 'collected', 'DNA', 'samples', 'from', '300', 'individuals', 'in', 'two', 'of', 'the', 'four', 'main', 'islands', 'of', 'Japan']"
147,"['Heterozygote', 'detection', 'was', 'performed', 'with', 'an', 'allele-specific', 'polymerase', 'chain', 'reaction', '(', 'PCR', ')', 'system', 'designed', 'to', 'detect', 'exclusively', 'only', 'one', 'of', 'the', 'normal', 'and', 'mutant', 'alleles', ',', 'followed', 'by', 'confirmation', 'with', 'PCR', '/', 'single-strand', 'conformation', 'polymorphism', '(', 'SSCP', ')', 'analysis', 'and', 'direct', 'sequencing']"
148,"['Twenty', 'individuals', 'were', 'heterozygous', 'for', 'the', 'Arg95Stop', 'mutation']"
149,"['None', 'was', 'homozygous']"
150,"['The', 'prevalence', 'of', 'carriers', 'of', 'the', 'Arg95Stop', 'mutation', 'was', '6']"
151,"['7', '%', '(', '20', '/', '300', ')']"
152,"['An', 'estimated', 'frequency', '(', '0']"
153,"['12', '%', ')', 'of', 'complete', 'C9', 'deficiency', 'due', 'to', 'homozygous', 'Arg95Stop', 'mutation', 'was', 'consistent', 'with', 'frequencies', 'determined', 'by', 'serological', 'studies', 'The', 'hereditary', 'hemochromatosis', 'protein,', 'HFE,', 'specifically', 'regulates', 'transferrin-mediated', 'iron', 'uptake', 'in', 'HeLa', 'cells']"
154,"['HFE', 'is', 'the', 'protein', 'product', 'of', 'the', 'gene', 'mutated', 'in', 'the', 'autosomal', 'recessive', 'disease', 'hereditary', 'hemochromatosis', '(', 'Feder', ',', 'J']"
155,['N']
156,"[',', 'Gnirke', ',', 'A']"
157,"[',', 'Thomas', ',', 'W']"
158,"[',', 'Tsuchihashi', ',', 'Z']"
159,"[',', 'Ruddy', ',', 'D']"
160,['A']
161,"[',', 'Basava', ',', 'A']"
162,"[',', 'Dormishian', ',', 'F']"
163,"[',', 'Domingo', ',', 'R']"
164,['J']
165,"[',', 'Ellis', ',', 'M']"
166,['C']
167,"[',', 'Fullan', ',', 'A']"
168,"[',', 'Hinton', ',', 'L']"
169,['M']
170,"[',', 'Jones', ',', 'N']"
171,['L']
172,"[',', 'Kimmel', ',', 'B']"
173,['E']
174,"[',', 'Kronmal', ',', 'G']"
175,['S']
176,"[',', 'Lauer', ',', 'P']"
177,"[',', 'Lee', ',', 'V']"
178,['K']
179,"[',', 'Loeb', ',', 'D']"
180,['B']
181,"[',', 'Mapa', ',', 'F']"
182,['A']
183,"[',', 'McClelland', ',', 'E']"
184,"[',', 'Meyer', ',', 'N']"
185,['C']
186,"[',', 'Mintier', ',', 'G']"
187,['A']
188,"[',', 'Moeller', ',', 'N']"
189,"[',', 'Moore', ',', 'T']"
190,"['37', ',', 'Morikang', ',', 'E']"
191,"[',', 'Prasss', ',', 'C']"
192,['E']
193,"[',', 'Quintana', ',', 'L']"
194,"[',', 'Starnes', ',', 'S']"
195,['M']
196,"[',', 'Schatzman', ',', 'R']"
197,['C']
198,"[',', 'Brunke', ',', 'K']"
199,['J']
200,"[',', 'Drayna', ',', 'D']"
201,['T']
202,"[',', 'Risch', ',', 'N']"
203,['J']
204,"[',', 'Bacon', ',', 'B']"
205,['R']
206,"[',', 'and', 'Wolff', ',', 'R']"
207,['R']
208,"['(', '1996', ')', 'Nat']"
209,['Genet']
210,"['13', ',', '399-408', ')']"
211,"['At', 'the', 'cell', 'surface', ',', 'HFE', 'complexes', 'with', 'transferrin', 'receptor', '(', 'TfR', ')', ',', 'increasing', 'the', 'dissociation', 'constant', 'of', 'transferrin', '(', 'Tf', ')', 'for', 'its', 'receptor', '10-fold', '(', 'Gross', ',', 'C']"
212,['N']
213,"[',', 'Irrinki', ',', 'A']"
214,"[',', 'Feder', ',', 'J']"
215,['N']
216,"[',', 'and', 'Enns', ',', 'C']"
217,['A']
218,"['(', '1998', ')', 'J']"
219,['Biol']
220,['Chem']
221,"['273', ',', '22068-22074', ';', 'Feder', ',', 'J']"
222,['N']
223,"[',', 'Penny', ',', 'D']"
224,['M']
225,"[',', 'Irrinki', ',', 'A']"
226,"[',', 'Lee', ',', 'V']"
227,['K']
228,"[',', 'Lebron', ',', 'J']"
229,['A']
230,"[',', 'Watson', ',', 'N']"
231,"[',', 'Tsuchihashi', ',', 'Z']"
232,"[',', 'Sigal', ',', 'E']"
233,"[',', 'Bjorkman', ',', 'P']"
234,['J']
235,"[',', 'and', 'Schatzman', ',', 'R']"
236,['C']
237,"['(', '1998', ')', 'Proc']"
238,['Natl']
239,['Acad']
240,['Sci']
241,"['U', 'S', 'A', '95', ',', '1472-1477', ')']"
242,"['HFE', 'does', 'not', 'remain', 'at', 'the', 'cell', 'surface', ',', 'but', 'traffics', 'with', 'TfR', 'to', 'Tf-positive', 'internal', 'compartments', '(', 'Gross', 'et', 'al']"
243,"[',', '1998', ')']"
244,"['Using', 'a', 'HeLa', 'cell', 'line', 'in', 'which', 'the', 'expression', 'of', 'HFE', 'is', 'controlled', 'by', 'tetracycline', ',', 'we', 'show', 'that', 'the', 'expression', 'of', 'HFE', 'reduces', '55Fe', 'uptake', 'from', 'Tf', 'by', '33', '%', 'but', 'does', 'not', 'affect', 'the', 'endocytic', 'or', 'exocytic', 'rates', 'of', 'TfR', 'cycling']"
245,"['Therefore', ',', 'HFE', 'appears', 'to', 'reduce', 'cellular', 'acquisition', 'of', 'iron', 'from', 'Tf', 'within', 'endocytic', 'compartments']"
246,"['HFE', 'specifically', 'reduces', 'iron', 'uptake', 'from', 'Tf', ',', 'as', 'non-Tf-mediated', 'iron', 'uptake', 'from', 'Fe-nitrilotriacetic', 'acid', 'is', 'not', 'altered']"
247,"['These', 'results', 'explain', 'the', 'decreased', 'ferritin', 'levels', 'seen', 'in', 'our', 'HeLa', 'cell', 'system', 'and', 'demonstrate', 'the', 'specific', 'control', 'of', 'HFE', 'over', 'the', 'Tf-mediated', 'pathway', 'of', 'iron', 'uptake']"
248,"['These', 'results', 'also', 'have', 'implications', 'for', 'the', 'understanding', 'of', 'cellular', 'iron', 'homeostasis', 'in', 'organs', 'such', 'as', 'the', 'liver', ',', 'pancreas', ',', 'heart', ',', 'and', 'spleen', 'that', 'are', 'iron', 'loaded', 'in', 'hereditary', 'hemochromatotic', 'individuals', 'lacking', 'functional', 'HFE']"
249,"['Mutation', 'and', 'haplotype', 'studies', 'of', 'familial', 'Mediterranean', 'fever', 'reveal', 'new', 'ancestral', 'relationships', 'and', 'evidence', 'for', 'a', 'high', 'carrier', 'frequency', 'with', 'reduced', 'penetrance', 'in', 'the', 'Ashkenazi', 'Jewish', 'population']"
250,"['Familial', 'Mediterranean', 'fever', '(', 'FMF', ')', 'is', 'a', 'recessive', 'disorder', 'characterized', 'by', 'episodes', 'of', 'fever', 'with', 'serositis', 'or', 'synovitis']"
251,"['The', 'FMF', 'gene', '(', 'MEFV', ')', 'was', 'cloned', 'recently', ',', 'and', 'four', 'missense', 'mutations', 'were', 'identified']"
252,"['Here', 'we', 'present', 'data', 'from', 'non-Ashkenazi', 'Jewish', 'and', 'Arab', 'patients', 'in', 'whom', 'we', 'had', 'not', 'originally', 'found', 'mutations', 'and', 'from', 'a', 'new', ',', 'more', 'ethnically', 'diverse', 'panel']"
253,"['Among', '90', 'symptomatic', 'mutation-positive', 'individuals', ',', '11', 'mutations', 'accounted', 'for', '79', '%', 'of', 'carrier', 'chromosomes']"
254,"['Of', 'the', 'two', 'mutations', 'that', 'are', 'novel', ',', 'one', 'alters', 'the', 'same', 'residue', '(', '680', ')', 'as', 'a', 'previously', 'known', 'mutation', ',', 'and', 'the', 'other', '(', 'P369S', ')', 'is', 'located', 'in', 'exon', '3']"
255,"['Consistent', 'with', 'another', 'recent', 'report', ',', 'the', 'E148Q', 'mutation', 'was', 'observed', 'in', 'patients', 'of', 'several', 'ethnicities', 'and', 'on', 'multiple', 'microsatellite', 'haplotypes', ',', 'but', 'haplotype', 'data', 'indicate', 'an', 'ancestral', 'relationships', 'between', 'non-Jewish', 'Italian', 'and', 'Ashkenazi', 'Jewish', 'patients', 'with', 'FMF', 'and', 'other', 'affected', 'populations']"
256,"['Among', 'approximately', '200', 'anonymous', 'Ashkenazi', 'Jewish', 'DNA', 'samples', ',', 'the', 'MEFV', 'carrier', 'frequency', 'was', '21', '%', ',', 'with', 'E148Q', 'the', 'most', 'common', 'mutation']"
257,"['Several', 'lines', 'of', 'evidence', 'indicate', 'reduced', 'penetrance', 'among', 'Ashkenazi', 'Jews', ',', 'especially', 'for', 'E148Q', ',', 'P369S', ',', 'and', 'K695R']"
258,"['Nevertheless', ',', 'E148Q', 'helps', 'account', 'for', 'recessive', 'inheritance', 'in', 'an', 'Ashkenazi', 'family', 'previously', 'reported', 'as', 'an', 'unusual', 'case', 'of', 'dominantly', 'inherited', 'FMF']"
259,"['The', 'presence', 'of', 'three', 'frequent', 'MEFV', 'mutations', 'in', 'multiple', 'Mediterranean', 'populations', 'strongly', 'suggests', 'a', 'heterozygote', 'advantage', 'in', 'this', 'geographic', 'region']"
260,"['Autoimmune', 'lymphoproliferative', 'syndrome', 'with', 'defective', 'Fas:', 'genotype', 'influences', 'penetrance']"
261,"['Autoimmune', 'lymphoproliferative', 'syndrome', '(', 'ALPS', ')', 'is', 'a', 'disorder', 'of', 'lymphocyte', 'homeostasis', 'and', 'immunological', 'tolerance']"
262,"['Most', 'patients', 'have', 'a', 'heterozygous', 'mutation', 'in', 'the', 'APT1', 'gene', ',', 'which', 'encodes', 'Fas', '(', 'CD95', ',', 'APO-1', ')', ',', 'mediator', 'of', 'an', 'apoptotic', 'pathway', 'crucial', 'to', 'lymphocyte', 'homeostasis']"
263,"['Of', '17', 'unique', 'APT1', 'mutations', 'in', 'unrelated', 'ALPS', 'probands', ',', '12', '(', '71', '%', ')', 'occurred', 'in', 'exons', '7-9', ',', 'which', 'encode', 'the', 'intracellular', 'portion', 'of', 'Fas']"
264,"['In', 'vitro', ',', 'activated', 'lymphocytes', 'from', 'all', '17', 'patients', 'showed', 'apoptotic', 'defects', 'when', 'exposed', 'to', 'an', 'anti-Fas', 'agonist', 'monoclonal', 'antibody']"
265,"['Similar', 'defects', 'were', 'found', 'in', 'a', 'Fas-negative', 'cell', 'line', 'transfected', 'with', 'cDNAs', 'bearing', 'each', 'of', 'the', 'mutations']"
266,"['In', 'cotransfection', 'experiments', ',', 'Fas', 'constructs', 'with', 'either', 'intra-', 'or', 'extracellular', 'mutations', 'caused', 'dominant', 'inhibition', 'of', 'apoptosis', 'mediated', 'by', 'wild-type', 'Fas']"
267,"['Two', 'missense', 'Fas', 'variants', ',', 'not', 'restricted', 'to', 'patients', 'with', 'ALPS', ',', 'were', 'identified']"
268,"['Variant', 'A', '(', '-1', ')', 'T', 'at', 'the', 'Fas', 'signal-sequence', 'cleavage', 'site', ',', 'which', 'mediates', 'apoptosis', 'less', 'well', 'than', 'wild-type', 'Fas', 'and', 'is', 'partially', 'inhibitory', ',', 'was', 'present', 'in', '13', '%', 'of', 'African', 'American', 'alleles']"
269,"['Among', 'the', 'ALPS', '-associated', 'Fas', 'mutants', ',', 'dominant', 'inhibition', 'of', 'apoptosis', 'was', 'much', 'more', 'pronounced', 'in', 'mutants', 'affecting', 'the', 'intracellular', ',', 'versus', 'extracellular', ',', 'portion', 'of', 'the', 'Fas', 'receptor']"
270,"['Mutations', 'causing', 'disruption', 'of', 'the', 'intracellular', 'Fas', 'death', 'domain', 'also', 'showed', 'a', 'higher', 'penetrance', 'of', 'ALPS', 'phenotype', 'features', 'in', 'mutation-bearing', 'relatives']"
271,"['Significant', 'ALPS', '-related', 'morbidity', 'occurred', 'in', '44', '%', 'of', 'relatives', 'with', 'intracellular', 'mutations', ',', 'versus', '0', '%', 'of', 'relatives', 'with', 'extracellular', 'mutations']"
272,"['Thus', ',', 'the', 'location', 'of', 'mutations', 'within', 'APT1', 'strongly', 'influences', 'the', 'development', 'and', 'the', 'severity', 'of', 'ALPS']"
273,"['Multicentric', 'origin', 'of', 'hemochromatosis', 'gene', '(HFE)', 'mutations']"
274,"['Genetic', 'hemochromatosis', '(', 'GH', ')', 'is', 'believed', 'to', 'be', 'a', 'disease', 'restricted', 'to', 'those', 'of', 'European', 'ancestry']"
275,"['In', 'northwestern', 'Europe', ',', '>', '80', '%', 'of', 'GH', 'patients', 'are', 'homozygous', 'for', 'one', 'mutation', ',', 'the', 'substitution', 'of', 'tyrosine', 'for', 'cysteine', 'at', 'position', '282', '(', 'C282Y', ')', 'in', 'the', 'unprocessed', 'protein']"
276,"['In', 'a', 'proportion', 'of', 'GH', 'patients', ',', 'two', 'mutations', 'are', 'present', ',', 'C282Y', 'and', 'H63D']"
277,"['The', 'clinical', 'significance', 'of', 'this', 'second', 'mutation', 'is', 'such', 'that', 'it', 'appears', 'to', 'predispose', '1', '%', '-2', '%', 'of', 'compound', 'heterozygotes', 'to', 'expression', 'of', 'the', 'disease']"
278,"['The', 'distribution', 'of', 'the', 'two', 'mutations', 'differ', ',', 'C282Y', 'being', 'limited', 'to', 'those', 'of', 'northwestern', 'European', 'ancestry', 'and', 'H63D', 'being', 'found', 'at', 'allele', 'frequencies', '>', '5', '%', ',', 'in', 'Europe', ',', 'in', 'countries', 'bordering', 'the', 'Mediterranean', ',', 'in', 'the', 'Middle', 'East', ',', 'and', 'in', 'the', 'Indian', 'subcontinent']"
279,"['The', 'C282Y', 'mutation', 'occurs', 'on', 'a', 'haplotype', 'that', 'extends', '<', '/', '=', '6', 'Mb', ',', 'suggesting', 'that', 'this', 'mutation', 'has', 'arisen', 'during', 'the', 'past', '2', ',', '000', 'years']"
280,"['The', 'H63D', 'mutation', 'is', 'older', 'and', 'does', 'not', 'occur', 'on', 'such', 'a', 'large', 'extended', 'haplotype', ',', 'the', 'haplotype', 'in', 'this', 'case', 'extending', '<', '/', '=', '700', 'kb']"
281,"['Here', 'we', 'report', 'the', 'finding', 'of', 'the', 'H63D', 'and', 'C282Y', 'mutations', 'on', 'new', 'haplotypes']"
282,"['In', 'Sri', 'Lanka', 'we', 'have', 'found', 'H63D', 'on', 'three', 'new', 'haplotypes', 'and', 'have', 'found', 'C282Y', 'on', 'one', 'new', 'haplotype', ',', 'demonstrating', 'that', 'these', 'mutations', 'have', 'arisen', 'independently', 'on', 'this', 'island']"
283,"['These', 'results', 'suggest', 'that', 'the', 'HFE', 'gene', 'has', 'been', 'the', 'subject', 'of', 'selection', 'pressure']"
284,"['These', 'selection', 'pressures', 'could', 'be', 'due', 'to', 'infectious', 'diseases', ',', 'environmental', 'conditions', ',', 'or', 'other', 'genetic', 'disorders', 'such', 'as', 'anemia']"
285,"['A', 'retrospective', 'anonymous', 'pilot', 'study', 'in', 'screening', 'newborns', 'for', 'HFE', 'mutations', 'in', 'Scandinavian', 'populations']"
286,"['We', 'have', 'retrospectively', 'analyzed', '837', 'random', 'anonymized', 'dried', 'blood', 'spot', '(', 'DBS', ')', 'samples', 'from', 'neonatal', 'screening', 'programs', 'in', 'Scandinavia', 'for', 'mutations', 'in', 'HFE', ',', 'the', 'candidate', 'gene', 'for', 'hemochromatosis']"
287,"['We', 'have', 'found', 'C282Y', 'allele', 'frequencies', 'of', '2']"
288,"['3', '%', '(', '+', '2']"
289,"['0', '%', ')', '(', '-1']"
290,"['3', '%', ')', 'in', 'Greenland', ',', '4']"
291,"['5', '%', '+', '/', '-1']"
292,"['9', '%', 'in', 'Iceland', ',', '5']"
293,"['1', '%', '+', '/', '-2']"
294,"['3', '%', 'in', 'the', 'Faeroe', 'Islands', ',', 'and', '8']"
295,"['2', '%', '+', '/', '-2']"
296,"['7', '%', 'in', 'Denmark']"
297,"['The', 'high', 'prevalence', 'of', 'HFE', 'mutations', 'in', 'Denmark', 'suggests', 'that', 'population', 'screening', 'for', 'the', 'C282Y', 'mutation', 'could', 'be', 'highly', 'advantageous', 'in', 'terms', 'of', 'preventive', 'health', 'care']"
298,"['Long-term', 'follow-up', 'evaluation', 'of', 'C282Y', 'homozygotes', 'and', 'H63D', '/', 'C282Y', 'compound', 'heterozygotes', 'will', 'give', 'an', 'indication', 'of', 'the', 'penetrance', 'of', 'the', 'mutations']"
299,"['Identification', 'of', 'the', 'mutation', 'in', 'the', 'alkaptonuria', 'mouse', 'model']"
300,"['Alkaptonuria', '(', 'aku', ')', ',', 'an', 'inborn', 'error', 'of', 'metabolism', 'caused', 'by', 'the', 'loss', 'of', 'homogentisate', '1', ',', '2-dioxygenase', '(', 'HGD', ')', ',', 'has', 'been', 'described', 'in', 'a', 'mouse', 'model', 'created', 'by', 'ethylnitrosourea', 'mutagenesis', 'but', 'the', 'mutation', 'in', 'these', 'mice', 'has', 'not', 'previously', 'been', 'identified']"
